發生年度,發生月,發生日,發生時-Hours,發生分,處理別-編號,區序,肇事地點,死亡人數,2-30日死亡人數,受傷人數,當事人序號,車種,天候,光線,道路類別,速限-速度限制,道路型態,事故位置,路面狀況1,路面狀況2,路面狀況3,道路障礙1,道路障礙2,號誌1,號誌2,車道劃分-分向,車道劃分-分道1,車道劃分-分道2,車道劃分-分道3,事故類型及型態,性別,年齡,受傷程度,主要傷處,安全帽,行動電話,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位1,車輛撞擊部位2,肇因碼-個別,肇因碼-主要,個人肇逃否,職業,旅次目的,座標-X,座標-Y
111,1,1,0,37,2,06松山區,松山區復興北路233號,0,0,2,1,C03,7,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,14,2,9,1,1,7,7,2,18,2,11,,23,23,1,22,9,121.5442386,25.05715389
111,1,1,0,37,2,06松山區,松山區復興北路233號,0,0,2,2,B03,7,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,56,3,10,1,1,7,14,1,8,2,6,,26,23,1,22,9,121.5442386,25.05715389
111,1,1,0,37,2,06松山區,松山區復興北路233號,0,0,2,3,H02,7,3,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,15,2,9,1,5,7,21,8,20,10,16,,67,23,1,22,9,121.5442386,25.05715389
111,1,1,0,42,2,04大安區,大安區忠孝東路3段與建國南路1段口,0,0,3,1,C03,7,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,15,1,19,2,9,1,1,7,8,1,10,1,12,,7,7,1,22,9,121.5374491,25.04155338
111,1,1,0,42,2,04大安區,大安區忠孝東路3段與建國南路1段口,0,0,3,2,C03,7,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,15,2,19,2,9,1,1,7,9,1,10,1,14,,44,7,1,22,9,121.5374491,25.04155338
111,1,1,0,42,2,04大安區,大安區忠孝東路3段與建國南路1段口,0,0,3,3,H02,7,3,5,50,4,1,1,5,4,5,7,1,1,1,4,5,2,15,2,19,2,9,4,5,7,20,8,20,10,15,,67,7,1,22,9,121.5374491,25.04155338
111,1,1,2,13,2,02萬華區,萬華區西寧南路與貴陽街2段口,0,0,1,1,B01,8,3,5,50,4,1,1,5,4,5,7,2,1,5,4,5,2,16,1,67,3,10,1,1,7,5,1,4,1,8,,44,44,1,22,9,121.5062103,25.03942986
111,1,1,2,13,2,02萬華區,萬華區西寧南路與貴陽街2段口,0,0,1,2,C03,8,3,5,50,4,1,1,5,4,5,7,2,1,5,4,5,2,16,2,44,2,9,1,1,7,9,1,10,1,11,,44,44,1,22,9,121.5062103,25.03942986
111,1,1,2,24,2,03中山區,中山區民權東路1段與雙城街口,0,0,1,1,B01,8,3,5,50,3,1,1,5,4,5,7,2,1,1,5,5,2,17,1,66,3,10,1,1,7,8,1,4,1,15,,44,44,1,22,9,121.5243556,25.0628531
111,1,1,2,24,2,03中山區,中山區民權東路1段與雙城街口,0,0,1,2,C03,8,3,5,50,3,1,1,5,4,5,7,2,1,1,5,5,2,17,1,26,2,9,1,1,7,9,1,10,1,14,,42,44,1,22,9,121.5243556,25.0628531
111,1,1,2,58,2,05中正區,中正區中山南路與貴陽街1段口,0,0,1,1,C03,8,3,5,50,4,2,1,5,4,5,7,2,1,9,4,4,1,18,1,18,2,9,1,1,7,6,1,10,1,12,,43,43,1,18,5,121.51732,25.03870714
111,1,1,2,58,2,05中正區,中正區中山南路與貴陽街1段口,0,0,1,2,,8,3,5,50,4,2,1,5,4,5,7,2,1,9,4,4,1,18,3,,,,,,,,,,,,,67,43,,,,121.51732,25.03870714
111,1,1,3,50,2,09北投區,北投區豐年路2段142-1號,0,0,2,1,C03,8,3,5,30,3,2,1,5,4,5,7,4,4,10,5,5,2,10,1,59,2,9,1,1,7,9,4,8,2,11,,6,6,1,22,9,121.4934086,25.13695674
111,1,1,3,50,2,09北投區,北投區豐年路2段142-1號,0,0,2,2,C03,8,3,5,30,3,2,1,5,4,5,7,4,4,10,5,5,2,10,1,26,2,9,1,1,7,9,1,10,3,11,,21,6,1,22,9,121.4934086,25.13695674
111,1,1,4,26,2,07信義區,信義區光復南路與信義路4段口,0,0,1,2,H01,7,3,5,50,14,18,1,5,4,5,7,2,1,1,4,5,1,3,1,52,2,9,4,5,8,16,8,20,10,16,,67,14,1,22,9,121.5575567,25.03327218
111,1,1,4,26,2,07信義區,信義區光復南路與信義路4段口,0,0,1,1,B01,7,3,5,50,14,18,1,5,4,5,7,2,1,1,4,5,1,3,1,66,3,10,1,1,7,5,1,4,2,1,,14,14,1,22,9,121.5575567,25.03327218
111,1,1,4,40,2,02萬華區,萬華區西園路2段與莒光路口,0,0,1,1,B01,8,3,5,50,3,1,1,5,4,5,7,2,1,1,4,5,2,16,1,66,3,10,1,1,7,11,1,4,1,2,,10,10,1,22,9,121.4967237,25.03112516
111,1,1,4,40,2,02萬華區,萬華區西園路2段與莒光路口,0,0,1,2,C03,8,3,5,50,3,1,1,5,4,5,7,2,1,1,4,5,2,16,1,21,2,9,1,1,7,9,1,10,1,11,,13,10,1,22,9,121.4967237,25.03112516
111,1,1,5,17,2,02萬華區,萬華區萬大路486巷與萬大路486巷11弄口,0,0,2,1,C03,8,3,5,0,4,1,1,5,4,5,7,4,4,9,4,5,2,17,2,72,2,9,1,1,7,9,3,18,1,12,,13,13,1,22,9,121.496795,25.0199089
111,1,1,5,17,2,02萬華區,萬華區萬大路486巷與萬大路486巷11弄口,0,0,2,2,F01,8,3,5,0,4,1,1,5,4,5,7,4,4,9,4,5,2,17,2,78,2,1,1,1,7,21,8,20,1,16,,6,13,1,22,9,121.496795,25.0199089
111,1,1,6,5,2,02萬華區,萬華區西藏路與中華路2段口,0,0,1,1,B03,8,3,5,50,4,1,1,5,4,5,7,2,1,1,3,5,1,16,1,52,3,10,1,1,7,5,1,8,2,5,,25,25,1,22,9,121.5041459,25.0301165
111,1,1,6,5,2,02萬華區,萬華區西藏路與中華路2段口,0,0,1,2,C03,8,3,5,50,4,1,1,5,4,5,7,2,1,1,3,5,1,16,1,23,2,9,1,1,7,9,1,10,2,11,,13,25,1,22,9,121.5041459,25.0301165
111,1,1,6,28,2,03中山區,中山區建國北路3段與民權東路3段口,0,0,1,1,B03,8,2,5,50,4,1,1,5,4,5,7,2,1,1,4,5,2,1,4,,4,11,3,4,7,15,7,19,11,15,,43,43,2,22,9,121.5372832,25.0625404
111,1,1,6,28,2,03中山區,中山區建國北路3段與民權東路3段口,0,0,1,2,H01,8,2,5,50,4,1,1,5,4,5,7,2,1,1,4,5,2,1,2,87,2,9,4,5,8,16,8,20,10,16,,67,43,1,22,9,121.5372832,25.0625404
111,1,1,7,50,2,08士林區,士林區仰德大道2段與仰德大道2段148巷口,0,0,2,2,B02,8,1,5,40,14,9,1,5,4,5,7,4,4,4,5,5,1,10,1,58,3,10,1,1,7,9,1,8,2,1,,44,26,1,22,9,121.5480091,25.11005834
111,1,1,7,50,2,08士林區,士林區仰德大道2段與仰德大道2段148巷口,0,0,2,1,C03,8,1,5,40,14,9,1,5,4,5,7,4,4,4,5,5,1,10,1,25,2,1,1,1,7,15,1,10,9,11,,26,26,1,22,9,121.5480091,25.11005834
111,1,1,7,50,2,08士林區,士林區仰德大道2段與仰德大道2段148巷口,0,0,2,3,H02,8,1,5,40,14,9,1,5,4,5,7,4,4,4,5,5,1,10,2,24,2,9,4,5,7,20,8,20,10,16,,67,26,1,22,9,121.5480091,25.11005834
111,1,1,8,30,2,03中山區,中山區中山北路2段與錦西街口,0,0,1,1,B01,8,1,5,50,4,2,1,5,4,5,7,2,1,1,4,1,1,9,1,62,3,10,1,1,7,6,1,4,1,5,,43,43,1,22,9,121.5228254,25.06024264
111,1,1,8,30,2,03中山區,中山區中山北路2段與錦西街口,0,0,1,2,H01,8,1,5,50,4,2,1,5,4,5,7,2,1,1,4,1,1,9,2,27,2,7,4,5,8,16,8,20,10,16,,67,43,1,22,9,121.5228254,25.06024264
111,1,1,8,55,2,07信義區,信義區忠孝東路5段與永吉路30巷口,0,0,1,1,C03,7,1,5,50,4,3,1,5,4,5,7,1,1,1,4,5,2,17,2,33,2,9,1,1,7,9,1,10,2,11,,23,23,1,22,9,121.5684213,25.04113724
111,1,1,8,55,2,07信義區,信義區忠孝東路5段與永吉路30巷口,0,0,1,2,C03,7,1,5,50,4,3,1,5,4,5,7,1,1,1,4,5,2,17,1,19,3,10,1,1,7,7,1,10,2,11,,7,23,1,22,9,121.5684213,25.04113724
111,1,1,9,42,2,01大同區,大同區民權西路106號,0,0,1,1,B03,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,16,1,38,3,10,1,1,7,9,1,8,2,5,,44,44,1,22,9,121.5172803,25.06283634
111,1,1,9,42,2,01大同區,大同區民權西路106號,0,0,1,2,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,16,2,39,2,9,1,1,7,7,1,10,2,14,,7,44,1,22,9,121.5172803,25.06283634
111,1,1,10,0,2,08士林區,士林區重慶北路4段49巷與重慶北路4段口,0,0,2,1,B03,7,1,5,50,3,1,1,5,4,5,7,2,1,1,4,4,1,16,1,23,3,10,1,1,7,9,1,8,2,8,,25,25,1,22,9,121.5130194,25.08103118
111,1,1,10,0,2,08士林區,士林區重慶北路4段49巷與重慶北路4段口,0,0,2,2,C03,7,1,5,50,3,1,1,5,4,5,7,2,1,1,4,4,1,16,1,62,2,9,1,1,7,9,1,10,2,14,,44,25,1,22,9,121.5130194,25.08103118
111,1,1,10,0,2,08士林區,士林區重慶北路4段49巷與重慶北路4段口,0,0,2,3,H02,7,1,5,50,3,1,1,5,4,5,7,2,1,1,4,4,1,16,1,23,2,9,4,5,7,17,8,20,10,16,,67,25,1,22,9,121.5130194,25.08103118
111,1,1,10,2,2,04大安區,大安區信義路2段與金山南路2段口,0,0,2,1,C03,7,1,5,50,4,4,1,5,4,5,7,1,1,10,3,5,2,13,1,18,3,10,1,1,7,9,1,10,1,11,,16,16,1,22,9,121.5273372,25.03394165
111,1,1,10,2,2,04大安區,大安區信義路2段與金山南路2段口,0,0,2,2,C03,7,1,5,50,4,4,1,5,4,5,7,1,1,10,3,5,2,13,1,45,2,9,1,1,7,14,1,9,1,13,,44,16,1,22,9,121.5273372,25.03394165
111,1,1,10,2,2,04大安區,大安區信義路2段與金山南路2段口,0,0,2,3,H02,7,1,5,50,4,4,1,5,4,5,7,1,1,10,3,5,2,13,2,45,2,9,1,5,7,20,8,20,10,16,,67,16,1,22,9,121.5273372,25.03394165
111,1,1,10,50,2,04大安區,大安區信義路3段與復興南路1段口,0,0,1,1,B03,8,1,5,50,14,9,1,5,4,5,7,2,1,10,5,5,2,3,1,47,3,10,1,1,7,5,1,8,2,1,,15,15,1,22,9,121.5436876,25.0332999
111,1,1,10,50,2,04大安區,大安區信義路3段與復興南路1段口,0,0,1,2,H01,8,1,5,50,14,9,1,5,4,5,7,2,1,10,5,5,2,3,2,59,2,9,4,5,8,16,8,20,10,16,,67,15,1,22,9,121.5436876,25.0332999
111,1,1,11,15,2,04大安區,大安區忠孝東路4段77巷與大安路1段75巷口,0,0,1,1,C03,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,2,54,2,2,1,1,7,9,1,10,2,11,,6,6,1,22,9,121.5471972,25.04216508
111,1,1,11,15,2,04大安區,大安區忠孝東路4段77巷與大安路1段75巷口,0,0,1,2,B02,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,1,31,3,10,1,1,7,9,1,4,2,4,,23,6,1,22,9,121.5471972,25.04216508
111,1,1,11,23,2,02萬華區,萬華區中華路1段與開封街2段口,0,0,2,1,C03,7,1,5,50,4,1,1,5,4,5,7,1,1,1,3,1,1,16,1,29,2,7,3,4,7,5,1,10,1,14,,8,8,1,22,9,121.5093733,25.04600407
111,1,1,11,23,2,02萬華區,萬華區中華路1段與開封街2段口,0,0,2,2,C03,7,1,5,50,4,1,1,5,4,5,7,1,1,1,3,1,1,16,1,20,3,10,3,4,7,9,1,10,1,12,,44,8,1,22,9,121.5093733,25.04600407
111,1,1,11,23,2,02萬華區,萬華區中華路1段與開封街2段口,0,0,2,3,H02,7,1,5,50,4,1,1,5,4,5,7,1,1,1,3,1,1,16,1,22,2,8,3,5,7,20,8,20,10,16,,67,8,1,22,9,121.5093733,25.04600407
111,1,1,11,50,2,07信義區,信義區信安街與嘉興街127巷口,0,0,1,2,C03,8,1,5,30,3,2,1,5,4,5,7,1,1,9,4,5,2,17,2,45,2,8,1,1,7,14,1,10,1,11,,43,23,1,22,9,121.5581741,25.0287043
111,1,1,11,50,2,07信義區,信義區信安街與嘉興街127巷口,0,0,1,1,B03,8,1,5,30,3,2,1,5,4,5,7,1,1,9,4,5,2,17,1,56,3,10,1,1,7,5,1,8,1,1,,23,23,1,22,9,121.5581741,25.0287043
111,1,1,11,59,2,04大安區,大安區大安路1段與大安路1段51巷口,0,0,2,1,C03,8,1,5,30,4,1,1,5,4,5,7,4,4,9,4,5,1,15,1,29,2,9,1,4,7,9,1,10,1,11,,6,6,1,22,9,121.546205,25.04294883
111,1,1,11,59,2,04大安區,大安區大安路1段與大安路1段51巷口,0,0,2,2,C03,8,1,5,30,4,1,1,5,4,5,7,4,4,9,4,5,1,15,1,29,2,9,1,4,7,9,1,10,1,12,,14,6,1,22,9,121.546205,25.04294883
111,1,1,12,0,2,05中正區,中正區廣州街與愛國西路42巷口,0,0,1,1,F01,8,1,5,30,3,1,1,5,4,5,7,4,4,5,4,5,2,12,2,25,3,10,1,1,7,7,8,20,1,16,,7,7,1,22,9,121.5085491,25.03548487
111,1,1,12,0,2,05中正區,中正區廣州街與愛國西路42巷口,0,0,1,2,C03,8,1,5,30,3,1,1,5,4,5,7,4,4,5,4,5,2,12,2,24,2,9,1,1,7,9,1,10,1,11,,44,7,1,22,9,121.5085491,25.03548487
111,1,1,12,10,2,08士林區,士林區中正路與文昌路口,0,0,1,1,B03,7,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,41,3,10,1,1,7,11,1,8,2,8,,10,10,1,22,9,121.5217077,25.09471915
111,1,1,12,10,2,08士林區,士林區中正路與文昌路口,0,0,1,2,C03,7,1,5,50,14,9,1,5,4,5,7,4,4,5,4,5,2,17,1,38,2,9,1,1,7,9,1,10,2,11,,44,10,1,22,9,121.5217077,25.09471915
111,1,1,12,55,2,04大安區,大安區忠孝東路3段與復興南路1段口,0,0,1,1,C03,8,1,5,50,4,2,1,5,4,1,7,2,1,1,4,5,1,12,1,58,2,8,3,4,7,7,1,10,1,14,,7,7,1,22,9,121.5437057,25.0419218
111,1,1,12,55,2,04大安區,大安區忠孝東路3段與復興南路1段口,0,0,1,2,B01,8,1,5,50,4,2,1,5,4,1,7,2,1,1,4,5,1,12,1,56,3,10,3,4,7,9,1,4,1,5,,44,7,1,22,9,121.5437057,25.0419218
111,1,1,12,55,2,04大安區,大安區忠孝東路3段與復興南路1段口,0,0,1,3,H03,8,1,5,50,4,2,1,5,4,1,7,2,1,1,4,5,1,12,1,66,3,10,4,5,8,20,8,20,10,16,,67,7,1,22,9,121.5437057,25.0419218
111,1,1,12,55,2,07信義區,信義區市民大道5段與基隆路1段口口,0,0,1,1,B01,8,1,5,50,5,1,1,5,4,5,7,1,1,1,4,5,2,17,4,,4,11,3,4,7,15,7,19,11,15,,43,43,2,22,9,121.5690083,25.04898133
111,1,1,12,55,2,07信義區,信義區市民大道5段與基隆路1段口口,0,0,1,2,C03,8,1,5,50,5,1,1,5,4,5,7,1,1,1,4,5,2,17,1,18,2,9,1,1,7,9,1,10,1,14,,43,43,1,22,9,121.5690083,25.04898133
111,1,1,13,0,2,11南港區,南港區忠孝東路6段與玉成街口,0,0,1,1,B03,8,1,5,40,3,1,1,5,4,5,7,4,4,1,4,4,2,12,1,20,3,10,1,1,7,6,1,8,1,6,,13,13,1,22,9,121.5835553,25.0465844
111,1,1,13,0,2,11南港區,南港區忠孝東路6段與玉成街口,0,0,1,2,C03,8,1,5,40,3,1,1,5,4,5,7,4,4,1,4,4,2,12,1,28,2,7,1,1,7,9,1,10,1,11,,23,13,1,22,9,121.5835553,25.0465844
111,1,1,14,19,2,05中正區,中正區衡陽路與博愛路口,0,0,1,1,B03,8,1,5,50,4,1,1,5,4,5,7,1,1,10,4,5,1,12,1,53,3,10,1,1,7,15,1,8,2,8,,42,42,1,22,9,121.511541,25.04221864
111,1,1,14,19,2,05中正區,中正區衡陽路與博愛路口,0,0,1,2,A02,8,1,5,50,4,1,1,5,4,5,7,1,1,10,4,5,1,12,1,57,3,10,1,1,7,9,1,2,2,2,,44,42,1,22,9,121.511541,25.04221864
111,1,1,14,19,2,05中正區,中正區衡陽路與博愛路口,0,0,1,3,B01,8,1,5,50,4,1,1,5,4,5,7,1,1,10,4,5,1,12,1,68,4,11,3,4,7,1,7,19,11,15,,19,42,2,22,9,121.511541,25.04221864
111,1,1,14,19,2,05中正區,中正區衡陽路與博愛路口,0,0,1,4,H02,8,1,5,50,4,1,1,5,4,5,7,1,1,10,4,5,1,12,2,65,2,9,4,5,7,20,8,20,10,16,,67,42,1,22,9,121.511541,25.04221864
111,1,1,15,4,2,02萬華區,萬華區民和街與德昌街10巷口,0,0,1,1,C03,8,1,5,30,5,1,1,5,4,5,7,3,1,5,5,5,2,16,1,22,3,10,1,1,7,9,1,10,2,11,,6,6,1,22,9,121.4997758,25.0262364
111,1,1,15,4,2,02萬華區,萬華區民和街與德昌街10巷口,0,0,1,2,B03,8,1,5,30,5,1,1,5,4,5,7,3,1,5,5,5,2,16,1,26,3,10,1,1,7,9,1,8,2,8,,14,6,1,22,9,121.4997758,25.0262364
111,1,1,15,4,2,02萬華區,萬華區民和街與德昌街10巷口,0,0,1,3,H02,8,1,5,30,5,1,1,5,4,5,7,3,1,5,5,5,2,16,2,22,2,8,4,5,7,20,8,20,10,16,,67,6,1,22,9,121.4997758,25.0262364
111,1,1,15,15,2,12內湖區,內湖區內湖路1段與內湖路1段91巷口,0,0,1,1,B03,8,1,5,50,14,9,1,5,4,5,7,2,1,1,4,5,2,17,1,45,3,10,1,1,7,8,1,8,1,2,,7,7,1,22,9,121.5611,25.08437442
111,1,1,15,15,2,12內湖區,內湖區內湖路1段與內湖路1段91巷口,0,0,1,2,C03,8,1,5,50,14,9,1,5,4,5,7,2,1,1,4,5,2,17,1,42,2,9,1,1,7,9,1,10,1,14,,44,7,1,22,9,121.5611,25.08437442
111,1,1,15,15,2,12內湖區,內湖區內湖路1段與內湖路1段91巷口,0,0,1,3,B03,8,1,5,50,14,9,1,5,4,5,7,2,1,1,4,5,2,17,1,58,3,10,1,1,7,9,1,2,11,15,,44,7,1,22,9,121.5611,25.08437442
111,1,1,15,15,2,12內湖區,內湖區成功路5段與大湖街166巷口,0,0,1,1,B03,8,1,5,50,4,1,1,5,4,5,7,2,1,1,4,5,2,12,1,38,3,10,1,1,7,6,1,8,1,6,,6,6,1,22,9,121.6012837,25.08429425
111,1,1,15,15,2,12內湖區,內湖區成功路5段與大湖街166巷口,0,0,1,2,F01,8,1,5,50,4,1,1,5,4,5,7,2,1,1,4,5,2,12,2,62,2,8,1,1,7,9,8,20,1,16,,44,6,1,22,9,121.6012837,25.08429425
111,1,1,15,45,2,03中山區,中山區龍江路394巷與五常街53巷口,0,0,1,1,B01,8,1,5,30,4,1,1,5,4,5,7,4,4,9,4,5,2,9,1,53,3,10,3,4,7,5,1,4,1,8,,8,8,1,22,9,121.5397243,25.06722005
111,1,1,15,45,2,03中山區,中山區龍江路394巷與五常街53巷口,0,0,1,2,H01,8,1,5,30,4,1,1,5,4,5,7,4,4,9,4,5,2,9,1,92,2,9,4,5,8,16,8,20,10,16,,60,8,1,22,9,121.5397243,25.06722005
111,1,1,16,8,2,04大安區,大安區安居街與安居街108巷口,0,0,1,1,B01,8,1,5,30,3,1,1,5,4,5,7,4,4,8,5,5,1,16,1,62,3,10,1,1,7,5,1,4,2,8,,6,6,1,22,9,121.5524557,25.01880325
111,1,1,16,8,2,04大安區,大安區安居街與安居街108巷口,0,0,1,2,C03,8,1,5,30,3,1,1,5,4,5,7,4,4,8,5,5,1,16,2,42,2,9,1,1,7,6,1,10,2,11,,44,6,1,22,9,121.5524557,25.01880325
111,1,1,16,35,2,12內湖區,內湖區成功路5段25號停車格旁,0,0,1,1,B03,8,1,5,40,14,8,1,5,4,5,7,4,4,1,4,4,2,12,1,34,3,10,1,1,7,1,1,8,1,8,,19,19,1,22,9,121.6059283,25.08244452
111,1,1,16,35,2,12內湖區,內湖區成功路5段25號停車格旁,0,0,1,2,C03,8,1,5,40,14,8,1,5,4,5,7,4,4,1,4,4,2,12,1,78,2,8,1,1,7,9,1,10,1,13,,44,19,1,22,9,121.6059283,25.08244452
111,1,1,16,38,2,08士林區,士林區忠誠路2段118巷與忠誠路2段118巷11弄口,0,0,3,1,C03,8,1,5,30,4,2,1,5,4,5,7,4,4,10,5,5,1,17,1,30,2,7,1,1,7,9,1,10,1,11,,6,6,1,22,9,121.5309252,25.11389943
111,1,1,16,38,2,08士林區,士林區忠誠路2段118巷與忠誠路2段118巷11弄口,0,0,3,2,C03,8,1,5,30,4,2,1,5,4,5,7,4,4,10,5,5,1,17,1,37,2,9,1,1,7,9,1,10,1,11,,14,6,1,22,9,121.5309252,25.11389943
111,1,1,16,38,2,08士林區,士林區忠誠路2段118巷與忠誠路2段118巷11弄口,0,0,3,3,H02,8,1,5,30,4,2,1,5,4,5,7,4,4,10,5,5,1,17,2,29,2,7,1,1,7,20,8,20,10,16,,67,6,1,22,9,121.5309252,25.11389943
111,1,1,16,41,2,12內湖區,內湖區行善路與行善路59巷口,0,0,1,1,B02,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,17,1,41,3,10,1,1,7,5,1,7,1,8,,8,8,1,22,9,121.577892,25.05770631
111,1,1,16,41,2,12內湖區,內湖區行善路與行善路59巷口,0,0,1,2,C03,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,17,1,34,3,10,1,1,7,4,1,9,1,12,,23,8,1,22,9,121.577892,25.05770631
111,1,1,16,41,2,12內湖區,內湖區行善路與行善路59巷口,0,0,1,3,H02,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,17,2,38,2,8,1,5,7,20,8,20,10,16,,67,8,1,22,9,121.577892,25.05770631
111,1,1,16,52,2,09北投區,北投區承德路7段231號前,0,0,1,1,C03,8,1,5,60,14,8,1,5,4,5,7,4,4,1,4,4,1,13,2,37,2,9,1,1,7,9,1,10,1,11,,16,16,1,22,9,121.5059566,25.11518675
111,1,1,16,52,2,09北投區,北投區承德路7段231號前,0,0,1,2,C03,8,1,5,60,14,8,1,5,4,5,7,4,4,1,4,4,1,13,1,56,3,10,1,1,7,9,1,10,1,13,,44,16,1,22,9,121.5059566,25.11518675
111,1,1,16,52,2,09北投區,北投區承德路7段231號前,0,0,1,3,C03,8,1,5,60,14,8,1,5,4,5,7,4,4,1,4,4,1,13,2,39,3,10,1,1,7,1,1,10,1,15,,19,16,1,22,9,121.5059566,25.11518675
111,1,1,16,52,2,09北投區,北投區承德路7段231號前,0,0,1,4,C03,8,1,5,60,14,8,1,5,4,5,7,4,4,1,4,4,1,13,1,19,3,10,1,1,7,13,1,10,11,12,,44,16,1,22,9,121.5059566,25.11518675
111,1,1,16,52,2,09北投區,北投區承德路7段231號前,0,0,1,5,C03,8,1,5,60,14,8,1,5,4,5,7,4,4,1,4,4,1,13,3,,,,,,,,,,,,,67,16,1,,,121.5059566,25.11518675
111,1,1,17,0,2,09北投區,北投區洲美街271號,0,0,1,1,B03,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,1,17,1,59,3,10,1,1,7,11,1,8,1,8,,10,10,1,22,9,121.4990581,25.10797065
111,1,1,17,0,2,09北投區,北投區洲美街271號,0,0,1,2,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,1,17,2,61,2,9,1,1,7,9,1,10,1,12,,44,10,1,22,9,121.4990581,25.10797065
111,1,1,17,0,2,09北投區,北投區行義路130巷與行義路口側附近口,0,0,1,1,B01,8,1,5,40,3,1,1,5,4,5,7,3,1,9,5,5,2,17,1,57,3,10,3,4,7,5,1,4,8,1,,6,6,1,22,9,121.5282468,25.12892261
111,1,1,17,0,2,09北投區,北投區行義路130巷與行義路口側附近口,0,0,1,2,C03,8,1,5,40,3,1,1,5,4,5,7,3,1,9,5,5,2,17,2,67,2,9,1,1,7,9,1,10,1,11,,14,6,1,22,9,121.5282468,25.12892261
111,1,1,17,16,2,07信義區,信義區松德路與松德路118巷口,0,0,1,1,B03,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,4,2,16,1,34,3,10,1,1,7,5,1,8,1,6,,6,6,1,22,9,121.574816,25.03747593
111,1,1,17,16,2,07信義區,信義區松德路與松德路118巷口,0,0,1,2,C03,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,4,2,16,1,27,2,9,1,1,7,9,1,10,1,11,,13,6,1,22,9,121.574816,25.03747593
111,1,1,17,46,2,08士林區,士林區中正路601號前迴轉道,0,0,4,1,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,5,1,17,2,41,2,9,1,1,7,8,6,18,2,13,,7,7,1,22,9,121.5098964,25.08673366
111,1,1,17,46,2,08士林區,士林區中正路601號前迴轉道,0,0,4,2,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,5,1,17,2,20,2,9,1,1,7,9,1,10,2,11,,23,7,1,22,9,121.5098964,25.08673366
111,1,1,17,46,2,08士林區,士林區中正路601號前迴轉道,0,0,4,3,H02,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,5,1,17,2,57,2,9,1,5,7,20,8,20,10,16,,67,7,1,22,9,121.5098964,25.08673366
111,1,1,17,46,2,08士林區,士林區中正路601號前迴轉道,0,0,4,4,H02,8,1,5,50,14,9,1,5,4,5,7,4,4,9,4,5,1,17,2,10,2,8,4,5,7,20,8,20,10,16,,67,7,1,22,9,121.5098964,25.08673366
111,1,1,18,0,2,06松山區,松山區南京東路4段與敦化北路口,0,0,2,1,C01,7,3,5,50,4,1,1,5,4,5,7,2,1,1,4,1,2,1,1,51,2,9,3,4,7,7,1,9,2,12,,42,42,1,22,9,121.5490038,25.05191236
111,1,1,18,0,2,06松山區,松山區南京東路4段與敦化北路口,0,0,2,2,H01,7,3,5,50,4,1,1,5,4,5,7,2,1,1,4,1,2,1,2,61,2,8,3,4,8,16,8,20,10,16,,52,42,1,22,9,121.5490038,25.05191236
111,1,1,18,22,2,02萬華區,萬華區中華路1段與中華路1段114巷口,0,0,1,1,C03,8,3,5,50,3,1,1,5,4,5,7,4,4,1,4,1,1,17,4,,4,11,3,4,7,15,7,19,11,15,,43,43,2,22,9,121.5085612,25.04373272
111,1,1,18,22,2,02萬華區,萬華區中華路1段與中華路1段114巷口,0,0,1,2,C03,8,3,5,50,3,1,1,5,4,5,7,4,4,1,4,1,1,17,1,19,2,8,1,1,7,8,1,10,2,12,,43,43,1,22,9,121.5085612,25.04373272
111,1,1,18,32,2,08士林區,士林區中山北路6段126號,0,0,1,1,C03,8,1,5,50,14,9,1,5,4,5,7,4,4,1,5,5,2,17,1,69,2,1,1,1,7,9,1,10,2,14,,17,17,1,22,9,121.5249179,25.10579313
111,1,1,18,32,2,08士林區,士林區中山北路6段126號,0,0,1,2,B03,8,1,5,50,14,9,1,5,4,5,7,4,4,1,5,5,2,17,1,39,3,10,1,1,7,9,7,19,2,2,,23,17,1,22,9,121.5249179,25.10579313
